# f, real(s11), imag(s11), real(s21), imag(s21), real(s22), imag(s22)
5.072631836000000050e+01 -5.893342620528534137e-03 6.994471111235217586e-03 8.257631280971478027e-01 -5.455337079325845995e-01 1.860839069943842627e-02 5.540887250804352529e-05
5.073242187999999686e+01 -5.892553302022478234e-03 6.994749184815914067e-03 8.257245001484456726e-01 -5.455906932265958131e-01 1.860887264665241070e-02 5.489315705861294581e-05
5.073852538999999950e+01 -5.891764003599309074e-03 6.995027184564843459e-03 8.256858683649331843e-01 -5.456476755003363266e-01 1.860935454916401444e-02 5.437734675329836814e-05
5.074462891000000297e+01 -5.890974722650738071e-03 6.995305111366874329e-03 8.256472326203434520e-01 -5.457046549406392444e-01 1.860983640856063437e-02 5.386143991352758051e-05
5.075073241999999851e+01 -5.890185461741061224e-03 6.995582964285075589e-03 8.256085930416010576e-01 -5.457616313609082725e-01 1.861031822327138818e-02 5.334543824149062113e-05
5.075683594000000198e+01 -5.889396218262066274e-03 6.995860744203739878e-03 8.255699495024130252e-01 -5.458186049479586410e-01 1.861079999488336745e-02 5.282934005795868540e-05
5.076293944999999752e+01 -5.888606994778097792e-03 6.996138450186643876e-03 8.255313021297291387e-01 -5.458755755152103761e-01 1.861128172182606455e-02 5.231314706580138946e-05
5.076904297000000099e+01 -5.887817788681061482e-03 6.996416083117643070e-03 8.254926507972307759e-01 -5.459325432494578356e-01 1.861176340568566900e-02 5.179685758521096473e-05
5.077514647999999653e+01 -5.887028602535274158e-03 6.996693642060937413e-03 8.254539956318923677e-01 -5.459895079641421400e-01 1.861224504489202014e-02 5.128047331970668130e-05
5.078125000000000000e+01 -5.886239433732794180e-03 6.996971127900292187e-03 8.254153365073699788e-01 -5.460464698460354427e-01 1.861272664103069685e-02 5.076399258891004657e-05
5.078735352000000347e+01 -5.885450283545021199e-03 6.997248540154966945e-03 8.253766734873139166e-01 -5.461034288019158689e-01 1.861320819332060172e-02 5.024741625052602662e-05
5.079345702999999901e+01 -5.884661153242966292e-03 6.997525878344769412e-03 8.253380066354006894e-01 -5.461603847385798627e-01 1.861368970097995734e-02 4.973074516291834876e-05
5.079956055000000248e+01 -5.883872040219131905e-03 6.997803143352569755e-03 8.252993358252470601e-01 -5.462173378427700454e-01 1.861417116559453688e-02 4.921397764479475481e-05
5.080566405999999802e+01 -5.883082947037605870e-03 6.998080334244392853e-03 8.252606611838899653e-01 -5.462742879279731678e-01 1.861465258559381886e-02 4.869711540131903271e-05
5.081176758000000149e+01 -5.882293871091015536e-03 6.998357451902713355e-03 8.252219825849205215e-01 -5.463312351809118672e-01 1.861513396256266051e-02 4.818015675064121067e-05
5.081787108999999703e+01 -5.881504814943414039e-03 6.998634495393854515e-03 8.251833001554010893e-01 -5.463881794150907689e-01 1.861561529493088729e-02 4.766310339852962777e-05
5.082397461000000050e+01 -5.880715775987602201e-03 6.998911465599985671e-03 8.251446137688969173e-01 -5.464451208172117491e-01 1.861609658428246827e-02 4.714595366255795034e-05
5.083007812000000314e+01 -5.879926756787556830e-03 6.999188361588207230e-03 8.251059235524951241e-01 -5.465020592007988620e-01 1.861657782904774239e-02 4.662870924915935023e-05
5.083618163999999950e+01 -5.879137754736314669e-03 6.999465184240265259e-03 8.250672293797350898e-01 -5.465589947525346659e-01 1.861705903081026237e-02 4.611136847531768779e-05
5.084228516000000297e+01 -5.878348771105081083e-03 6.999741933077077705e-03 8.250285313143230770e-01 -5.466159273792345896e-01 1.861754018878851447e-02 4.559393220028226668e-05
5.084838866999999851e+01 -5.877559807165026740e-03 7.000018607619992728e-03 8.249898294199909943e-01 -5.466728569877348232e-01 1.861802130220092943e-02 4.507640128395291185e-05
5.085449219000000198e+01 -5.876770860309445121e-03 7.000295208750256792e-03 8.249511235702390310e-01 -5.467297837646885039e-01 1.861850237263060204e-02 4.455877404240535591e-05
5.086059569999999752e+01 -5.875981933102167321e-03 7.000571735536309514e-03 8.249124138922171445e-01 -5.467867075236627628e-01 1.861898339850757977e-02 4.404105218373810526e-05
5.086669922000000099e+01 -5.875193022936729681e-03 7.000848188859237764e-03 8.248737002593999890e-01 -5.468436284512909751e-01 1.861946438141436067e-02 4.352323402342537714e-05
5.087280272999999653e+01 -5.874404132376775944e-03 7.001124567787619934e-03 8.248349827989630567e-01 -5.469005463611584794e-01 1.861994531978161671e-02 4.300532127021923501e-05
