# f, real(s11), imag(s11), real(s21), imag(s21), real(s22), imag(s22)
5.087890625000000000e+01 -5.873615258816043683e-03 7.001400873202237585e-03 8.247962613843548008e-01 -5.469574614398798884e-01 1.862042621519109653e-02 4.248731223902100368e-05
5.088500977000000347e+01 -5.872826403525766015e-03 7.001677104625091130e-03 8.247575360793250043e-01 -5.470143735943001628e-01 1.862090706686125863e-02 4.196920779026610399e-05
5.089111327999999901e+01 -5.872037567777176059e-03 7.001953261578847121e-03 8.247188069476479866e-01 -5.470712827312856907e-01 1.862138787401022844e-02 4.145100878509208608e-05
5.089721680000000248e+01 -5.871248748964108533e-03 7.002229344943433631e-03 8.246800738627341198e-01 -5.471281890374188883e-01 1.862186863821947702e-02 4.093271353747870295e-05
5.090332030999999802e+01 -5.870459949650262688e-03 7.002505353789219289e-03 8.246413369518211800e-01 -5.471850923263316124e-01 1.862234935791946822e-02 4.041432375786416925e-05
5.090942383000000149e+01 -5.869671167229750797e-03 7.002781288995799103e-03 8.246025960882931161e-01 -5.472419927845864063e-01 1.862283003469106246e-02 3.989583775958335451e-05
5.091552733999999703e+01 -5.868882404266022312e-03 7.003057149634138445e-03 8.245638513994127949e-01 -5.472988902258332233e-01 1.862331066696507054e-02 3.937725725374451036e-05
5.092163086000000050e+01 -5.868093658153550329e-03 7.003332936583520074e-03 8.245251027585389636e-01 -5.473557848366142897e-01 1.862379125632190879e-02 3.885858055313043055e-05
5.092773437999999686e+01 -5.867304930163533272e-03 7.003608649367269734e-03 8.244863502294639268e-01 -5.474126765238079839e-01 1.862427180197942511e-02 3.833980851944071566e-05
5.093383788999999950e+01 -5.866516221567107114e-03 7.003884287508900519e-03 8.244475938760056355e-01 -5.474695651943087826e-01 1.862475230315588370e-02 3.782094201496347119e-05
5.093994141000000297e+01 -5.865727529758966996e-03 7.004159851887258037e-03 8.244088335714837568e-01 -5.475264510346292690e-01 1.862523276143093764e-02 3.730197935165272677e-05
5.094604491999999851e+01 -5.864938857302409714e-03 7.004435341574737073e-03 8.243700694432242182e-01 -5.475833338584659149e-01 1.862571317523543935e-02 3.678292224218535772e-05
5.095214844000000198e+01 -5.864150201592255307e-03 7.004710757449669756e-03 8.243313013645199305e-01 -5.476402138523105423e-01 1.862619354614881984e-02 3.626376899787267863e-05
5.095825194999999752e+01 -5.863361565191876901e-03 7.004986098585082310e-03 8.242925294627220234e-01 -5.476970908298766094e-01 1.862667387260188989e-02 3.574452133210236776e-05
5.096435547000000099e+01 -5.862572945496143106e-03 7.005261365858717060e-03 8.242537536110979834e-01 -5.477539649776369535e-01 1.862715415617362258e-02 3.522517755559983685e-05
5.097045897999999653e+01 -5.861784345068454805e-03 7.005536558344349629e-03 8.242149739370239203e-01 -5.478108361093236844e-01 1.862763439529473153e-02 3.470573938237249412e-05
