# f, real(s11_LNA), imag(s11_LNA), C1, C2, TU, TC, TS, real(s11_ant), imag(s11_ant), Gconn, Gbalun, Gground
7.247924804999999537e+01 5.181699999999999804e-04 1.394095000000000056e-02 4.317782499999999857e+00 -1.485434050000000061e+00 1.837606169100000102e+02 -9.146164719999999804e+00 9.704884059999999479e+00 -7.126661478563679764e-02 1.868767929951648532e-01 9.988601177546198029e-01 9.954748952742161761e-01 9.978755503903616875e-01
7.248535155999999802e+01 5.174500000000000280e-04 1.393997999999999939e-02 4.317636059999999887e+00 -1.485425100000000054e+00 1.837598277799999948e+02 -9.146660770000000440e+00 9.707199049999999829e+00 -7.109688798286746547e-02 1.869420325183647202e-01 9.988603787540389911e-01 9.954744304113146702e-01 9.978757358435443869e-01
7.249145507999999438e+01 5.167299999999999671e-04 1.393901999999999988e-02 4.317489639999999795e+00 -1.485416140000000107e+00 1.837590388099999927e+02 -9.147157890000000791e+00 9.709513680000000591e+00 -7.092710950128990055e-02 1.870071065122198839e-01 9.988606398973538525e-01 9.954739660908847876e-01 9.978759211990315681e-01
7.249755858999999703e+01 5.160100000000000147e-04 1.393807000000000032e-02 4.317343250000000410e+00 -1.485407179999999938e+00 1.837582500100000118e+02 -9.147656080000000856e+00 9.711827949999999987e+00 -7.075728005278179855e-02 1.870720147432385072e-01 9.988609011834255202e-01 9.954735023144473116e-01 9.978761064562327032e-01
7.250366210999999339e+01 5.152899999999999538e-04 1.393711000000000082e-02 4.317196880000000014e+00 -1.485398219999999991e+00 1.837574613799999952e+02 -9.148155349999999686e+00 9.714141859999999795e+00 -7.058739923637620539e-02 1.871367574039805581e-01 9.988611626128306442e-01 9.954730390804750195e-01 9.978762916157721818e-01
7.250976561999999603e+01 5.145700000000000014e-04 1.393614999999999958e-02 4.317050530000000386e+00 -1.485389250000000105e+00 1.837566729099999918e+02 -9.148655690000000007e+00 9.716455399999999187e+00 -7.041746776424698262e-02 1.872013342622938503e-01 9.988614241844341324e-01 9.954725763904863634e-01 9.978764766770626959e-01
7.251586914000000661e+01 5.138500000000000489e-04 1.393519000000000008e-02 4.316904209999999686e+00 -1.485380289999999937e+00 1.837558846100000096e+02 -9.149157100000000042e+00 9.718768589999999818e+00 -7.024748523505536246e-02 1.872657455099057122e-01 9.988616858988124125e-01 9.954721142429574510e-01 9.978766616407284129e-01
7.252197266000000297e+01 5.131299999999999880e-04 1.393423000000000057e-02 4.316757909999999754e+00 -1.485371320000000050e+00 1.837550964700000122e+02 -9.149659579999999792e+00 9.721081410000000034e+00 -7.007745208264629100e-02 1.873299910211274899e-01 9.988619477552549419e-01 9.954716526386427899e-01 9.978768465064826731e-01
7.252807617000000562e+01 5.124100000000000356e-04 1.393326999999999934e-02 4.316611629999999700e+00 -1.485362349999999942e+00 1.837543085099999871e+02 -9.150163129999999256e+00 9.723393879999999712e+00 -6.990736874118028132e-02 1.873940706714821436e-01 9.988622097530561739e-01 9.954711915782936682e-01 9.978770312740417037e-01
7.253417969000000198e+01 5.116899999999999747e-04 1.393231999999999977e-02 4.316465380000000351e+00 -1.485353380000000056e+00 1.837535207100000036e+02 -9.150667750000000211e+00 9.725705980000000750e+00 -6.973723480876038716e-02 1.874579846514486670e-01 9.988624718927909818e-01 9.954707310603929660e-01 9.978772159440278955e-01
7.254028320000000463e+01 5.109599999999999732e-04 1.393136000000000027e-02 4.316319159999999933e+00 -1.485344409999999948e+00 1.837527330700000050e+02 -9.151173440000000880e+00 9.728017709999999596e+00 -6.956705099829492422e-02 1.875217327322228067e-01 9.988627341733217202e-01 9.954702710864439252e-01 9.978774005158561611e-01
7.254638672000000099e+01 5.102400000000000208e-04 1.393040000000000077e-02 4.316172950000000341e+00 -1.485335440000000062e+00 1.837519455999999991e+02 -9.151680199999999488e+00 9.730329089999999681e+00 -6.939681690751958731e-02 1.875853151034499455e-01 9.988629965952268153e-01 9.954698116549320908e-01 9.978775849901457828e-01
7.255249023000000363e+01 5.095199999999999599e-04 1.392944999999999947e-02 4.316026769999999679e+00 -1.485326460000000015e+00 1.837511582999999860e+02 -9.152188029999999586e+00 9.732640110000000178e+00 -6.922653324963139176e-02 1.876487315376655085e-01 9.988632591573676223e-01 9.954693527673591502e-01 9.978777693663138937e-01
7.255859375000000000e+01 5.088000000000000075e-04 1.392848999999999997e-02 4.315880609999999784e+00 -1.485317489999999907e+00 1.837503711699999940e+02 -9.152696920000000347e+00 9.734950760000000258e+00 -6.905619962199943673e-02 1.877119822236810454e-01 9.988635218603232335e-01 9.954688944222115365e-01 9.978779536449788878e-01
7.256469726999999637e+01 5.080799999999999466e-04 1.392754000000000041e-02 4.315734479999999706e+00 -1.485308510000000082e+00 1.837495841999999868e+02 -9.153206889999999873e+00 9.737261050000000751e+00 -6.888581645891181382e-02 1.877750670385935627e-01 9.988637847033823292e-01 9.954684366202363188e-01 9.978781378258583246e-01
7.257080077999999901e+01 5.073599999999999942e-04 1.392657999999999917e-02 4.315588370000000396e+00 -1.485299530000000034e+00 1.837487973899999929e+02 -9.153717920000000063e+00 9.739570979999999878e+00 -6.871538419496002470e-02 1.878379858607141517e-01 9.988640476858350326e-01 9.954679793621742379e-01 9.978783219086688749e-01
7.257690429999999537e+01 5.066299999999999927e-04 1.392562999999999961e-02 4.315442290000000014e+00 -1.485290549999999987e+00 1.837480107599999997e+02 -9.154230009999999140e+00 9.741880540000000366e+00 -6.854490242696786861e-02 1.879007388776020027e-01 9.988643108082627675e-01 9.954675226465192761e-01 9.978785058940317088e-01
7.258300780999999802e+01 5.059100000000000402e-04 1.392468000000000004e-02 4.315296230000000399e+00 -1.485281569999999940e+00 1.837472242899999912e+02 -9.154743169999999708e+00 9.744189739999999489e+00 -6.837437186884387508e-02 1.879633258651421945e-01 9.988645740695230035e-01 9.954670664747593545e-01 9.978786897813600731e-01
7.258911132999999438e+01 5.051899999999999794e-04 1.392372000000000054e-02 4.315150189999999775e+00 -1.485272579999999953e+00 1.837464379799999961e+02 -9.155257399999999990e+00 9.746498580000000800e+00 -6.820379211704852285e-02 1.880257470100594186e-01 9.988648374701959431e-01 9.954666108453903428e-01 9.978788735712756930e-01
7.259521483999999703e+01 5.044700000000000269e-04 1.392276999999999924e-02 4.315004169999999917e+00 -1.485263589999999967e+00 1.837456518399999936e+02 -9.155772689999999159e+00 9.748807049999999919e+00 -6.803316388577229645e-02 1.880880020895779881e-01 9.988651010091413873e-01 9.954661557598990518e-01 9.978790572631950351e-01
7.260131835999999339e+01 5.037400000000000254e-04 1.392181999999999968e-02 4.314858179999999876e+00 -1.485254609999999920e+00 1.837448658700000124e+02 -9.156289049999999818e+00 9.751115170000000276e+00 -6.786248677111471339e-02 1.881500912895874011e-01 9.988653646869394276e-01 9.954657012167820174e-01 9.978792408577363826e-01
7.260742188000000397e+01 5.030199999999999646e-04 1.392087000000000012e-02 4.314712219999999654e+00 -1.485245619999999933e+00 1.837440800699999954e+02 -9.156806469999999365e+00 9.753422909999999391e+00 -6.769176120778820638e-02 1.882120144899708802e-01 9.988656285028799653e-01 9.954652472167768718e-01 9.978794243546169618e-01
7.261352539000000661e+01 5.023000000000000121e-04 1.391992000000000056e-02 4.314566270000000259e+00 -1.485236620000000007e+00 1.837432944299999917e+02 -9.157324949999999575e+00 9.755730299999999744e+00 -6.752098763080287280e-02 1.882737715718251492e-01 9.988658924562473507e-01 9.954647937606148078e-01 9.978796077535554421e-01
7.261962891000000297e+01 5.015700000000000106e-04 1.391896999999999926e-02 4.314420349999999793e+00 -1.485227630000000021e+00 1.837425089500000013e+02 -9.157844499999999499e+00 9.758037319999999681e+00 -6.735016563572097936e-02 1.883353627197856539e-01 9.988661565476297799e-01 9.954643408468031307e-01 9.978797910551684414e-01
7.262573242000000562e+01 5.008499999999999498e-04 1.391800999999999976e-02 4.314274460000000033e+00 -1.485218640000000034e+00 1.837417236400000036e+02 -9.158365110000000087e+00 9.760343969999999203e+00 -6.717929593742372196e-02 1.883967877144269165e-01 9.988664207758777280e-01 9.954638884768122198e-01 9.978799742588742028e-01
7.263183594000000198e+01 5.001299999999999973e-04 1.391706000000000019e-02 4.314128590000000152e+00 -1.485209640000000109e+00 1.837409384999999986e+02 -9.158886779999999561e+00 9.762650269999999963e+00 -6.700837813111798491e-02 1.884580467395475245e-01 9.988666851415786141e-01 9.954634366491498243e-01 9.978801573652924528e-01
7.263793945000000463e+01 4.993999999999999958e-04 1.391612000000000057e-02 4.313982740000000149e+00 -1.485200639999999961e+00 1.837401535200000069e+02 -9.159409509999999699e+00 9.764956189999999481e+00 -6.683741293195810673e-02 1.885191395770615952e-01 9.988669496435831352e-01 9.954629853652842142e-01 9.978803403738374378e-01
7.264404297000000099e+01 4.986800000000000434e-04 1.391516999999999928e-02 4.313836910000000024e+00 -1.485191640000000035e+00 1.837393687100000079e+02 -9.159933300000000500e+00 9.767261760000000237e+00 -6.666639993479574200e-02 1.885800664099313573e-01 9.988672142824817080e-01 9.954625346237254702e-01 9.978805232851302165e-01
7.265014648000000363e+01 4.979599999999999825e-04 1.391421999999999971e-02 4.313691109999999718e+00 -1.485182640000000109e+00 1.837385840599999938e+02 -9.160458159999999239e+00 9.769566960000000577e+00 -6.649533985505567957e-02 1.886408270214105787e-01 9.988674790571216988e-01 9.954620844259399748e-01 9.978807060985872557e-01
7.265625000000000000e+01 4.972299999999999810e-04 1.391327000000000015e-02 4.313545330000000178e+00 -1.485173639999999962e+00 1.837377995800000008e+02 -9.160984069999999591e+00 9.771871790000000502e+00 -6.632423228723724473e-02 1.887014215936240746e-01 9.988677439680938575e-01 9.954616347704379198e-01 9.978808888148256173e-01
7.266235351999999637e+01 4.965100000000000286e-04 1.391232000000000059e-02 4.313399579999999567e+00 -1.485164630000000097e+00 1.837370152700000006e+02 -9.161511040000000605e+00 9.774176260000000838e+00 -6.615307766657434196e-02 1.887618500100358421e-01 9.988680090146799806e-01 9.954611856579440587e-01 9.978810714335644150e-01
7.266845702999999901e+01 4.957800000000000271e-04 1.391136999999999929e-02 4.313253849999999723e+00 -1.485155620000000010e+00 1.837362311200000136e+02 -9.162039070000000507e+00 9.776480360000000758e+00 -6.598187642858904800e-02 1.888221121553237403e-01 9.988682741961671940e-01 9.954607370891832563e-01 9.978812539545225402e-01
7.267456054999999537e+01 4.950599999999999662e-04 1.391042999999999967e-02 4.313108139999999757e+00 -1.485146620000000084e+00 1.837354471300000114e+02 -9.162568159999999295e+00 9.778784099999999313e+00 -6.581062816725533060e-02 1.888822082103557565e-01 9.988685395131436939e-01 9.954602890626693679e-01 9.978814363783147234e-01
7.268066405999999802e+01 4.943400000000000138e-04 1.390948000000000011e-02 4.312962459999999609e+00 -1.485137609999999997e+00 1.837346633100000020e+02 -9.163098310000000524e+00 9.781087469999999229e+00 -6.563933359866247486e-02 1.889421379617359509e-01 9.988688049644591782e-01 9.954598415798570077e-01 9.978816187043624275e-01
7.268676757999999438e+01 4.936100000000000123e-04 1.390853000000000055e-02 4.312816800000000228e+00 -1.485128599999999910e+00 1.837338796600000137e+02 -9.163629520000000639e+00 9.783390479999999556e+00 -6.546799231643553318e-02 1.890019015894940646e-01 9.988690705507018430e-01 9.954593946392674697e-01 9.978818009332799388e-01
7.269287108999999703e+01 4.928899999999999514e-04 1.390758999999999919e-02 4.312671169999999776e+00 -1.485119580000000106e+00 1.837330961700000103e+02 -9.164161780000000590e+00 9.785693119999999467e+00 -6.529660503692572004e-02 1.890614988815745856e-01 9.988693362707203871e-01 9.954589482423483737e-01 9.978819830644903854e-01
7.269897460999999339e+01 4.921599999999999499e-04 1.390663999999999963e-02 4.312525550000000152e+00 -1.485110570000000019e+00 1.837323128499999996e+02 -9.164695099999999428e+00 9.787995390000000739e+00 -6.512517135341261421e-02 1.891209300171679264e-01 9.988696021251055601e-01 9.954585023876230121e-01 9.978821650986029468e-01
7.270507811999999603e+01 4.914399999999999975e-04 1.390570000000000001e-02 4.312379960000000345e+00 -1.485101549999999992e+00 1.837315296900000021e+02 -9.165229469999999878e+00 9.790297300000000646e+00 -6.495369198250716680e-02 1.891801947855586141e-01 9.988698681127049506e-01 9.954580570765385605e-01 9.978823470350448588e-01
7.271118164000000661e+01 4.907099999999999960e-04 1.390475000000000044e-02 4.312234400000000356e+00 -1.485092529999999966e+00 1.837307466999999974e+02 -9.165764899999999216e+00 9.792598849999999189e+00 -6.478216651714205354e-02 1.892392933650986209e-01 9.988701342341079759e-01 9.954576123076189775e-01 9.978825288744272992e-01
7.271728516000000297e+01 4.899900000000000436e-04 1.390381000000000082e-02 4.312088860000000246e+00 -1.485083509999999940e+00 1.837299638700000060e+02 -9.166301389999999216e+00 9.794900020000000040e+00 -6.461059539304792043e-02 1.892982256428301924e-01 9.988704004886013177e-01 9.954571680815786916e-01 9.978827106164704919e-01
7.272338867000000562e+01 4.892600000000000421e-04 1.390286999999999946e-02 4.311943340000000013e+00 -1.485074489999999914e+00 1.837291811999999993e+02 -9.166838930000000829e+00 9.797200829999999527e+00 -6.443897904623206718e-02 1.893569915070108800e-01 9.988706668754626650e-01 9.954567243991278014e-01 9.978828922608938834e-01
7.272949219000000198e+01 4.885300000000000406e-04 1.390191999999999990e-02 4.311797849999999599e+00 -1.485065470000000110e+00 1.837283987099999933e+02 -9.167377520000000501e+00 9.799501279999999426e+00 -6.426731706911309461e-02 1.894155911347333576e-01 9.988709333952892067e-01 9.954562812587962606e-01 9.978830738083117602e-01
7.273559570000000463e+01 4.878099999999999797e-04 1.390098000000000028e-02 4.311652379999999951e+00 -1.485056439999999922e+00 1.837276163699999927e+02 -9.167917170000000837e+00 9.801801349999999857e+00 -6.409561017894196966e-02 1.894740243186318063e-01 9.988712000469219809e-01 9.954558386620184773e-01 9.978832552581462512e-01
7.274169922000000099e+01 4.870799999999999783e-04 1.390004000000000066e-02 4.311506930000000182e+00 -1.485047419999999896e+00 1.837268342000000132e+02 -9.168457869999999232e+00 9.804101060000000700e+00 -6.392385796779696816e-02 1.895322912349587385e-01 9.988714668309561784e-01 9.954553966073270699e-01 9.978834366110103105e-01
7.274780273000000363e+01 4.863600000000000258e-04 1.389909999999999930e-02 4.311361510000000230e+00 -1.485038389999999930e+00 1.837260521999999980e+02 -9.168999619999999240e+00 9.806400399999999351e+00 -6.375206115317973155e-02 1.895903916776887910e-01 9.988717337462370560e-01 9.954549550961548920e-01 9.978836178663267331e-01
